alias,nodeid,datatype,initial,folder,writable

Realizar_Vision,'""."SALIDAS"."Realizar_Vision"',Boolean,false,SALIDAS,0
Espesor_Nominal,'""."SALIDAS"."Espesor_Nominal"',Double,0.0,SALIDAS,0
Cargar_Fichero_1,'""."SALIDAS"."Cargar_Fichero_1"',Boolean,false,SALIDAS,0
Cargar_Fichero_2,'""."SALIDAS"."Cargar_Fichero_2"',Boolean,false,SALIDAS,0
Control_Esquinas_1,'""."SALIDAS"."Control_Esquinas_1"',Boolean,false,SALIDAS,0
Control_Esquinas_2,'""."SALIDAS"."Control_Esquinas_2"',Boolean,false,SALIDAS,0
Control_Perforaciones_1,'""."SALIDAS"."Control_Perforaciones_1"',Boolean,false,SALIDAS,0
Control_Perforaciones_2,'""."SALIDAS"."Control_Perforaciones_2"',Boolean,false,SALIDAS,0
Produccion,'""."SALIDAS"."Produccion"',Int16,0,SALIDAS,0
ID_Pizarra_In,'""."SALIDAS"."ID_Pizarra"',Int16,0,SALIDAS,0
LiveBit_In,'""."SALIDAS"."LiveBit"',Boolean,false,SALIDAS,0

COD_Error,'""."ENTRADAS"."COD_Error"',Int16,0,ENTRADAS,1
COD_Error_2,'""."ENTRADAS"."COD_Error_2"',Int16,0,ENTRADAS,1
Vision_Realizada,'""."ENTRADAS"."Vision_Realizada"',Boolean,false,ENTRADAS,1
Largo_Medido,'""."ENTRADAS"."Largo_Medido"',Double,0.0,ENTRADAS,1
Ancho_Medido,'""."ENTRADAS"."Ancho_Medido"',Double,0.0,ENTRADAS,1
Espesor_Medido,'""."ENTRADAS"."Espesor_Medido"',Double,0.0,ENTRADAS,1
Tercio_Visible,'""."ENTRADAS"."Tercio_Visible"',Byte,0,ENTRADAS,1
Calidad_Tercio_1,'""."ENTRADAS"."Calidad_Tercio_1"',Byte,0,ENTRADAS,1
Calidad_Tercio_3,'""."ENTRADAS"."Calidad_Tercio_3"',Byte,0,ENTRADAS,1
Fichero_Cargado_1,'""."ENTRADAS"."Fichero_Cargado_1"',Boolean,false,ENTRADAS,1
Fichero_Cargado_2,'""."ENTRADAS"."Fichero_Cargado_2"',Boolean,false,ENTRADAS,1
ID_Pizarra_Out,'""."ENTRADAS"."ID_Pizarra"',Int16,0,ENTRADAS,1
ID_Produccion_1,'""."ENTRADAS"."ID_Produccion_1"',Int16,0,ENTRADAS,1
ID_Produccion_2,'""."ENTRADAS"."ID_Produccion_2"',Int16,0,ENTRADAS,1
LiveBit_Out,'""."ENTRADAS"."LiveBit"',Boolean,false,ENTRADAS,1
